variant,system,tick,actual_request_rate,scaled_demand,predicted_demand,p10,p50,p90,monitored,burst,next_interval_seconds,after_stretched_interval,replicas,cpu_millicores,utilization,response_ms,slo_violation,resource_cost,rolling_overlap_cost,execution_backend
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,0,839.0,526.3855001742768,575.1495589335168,575.1495589335168,575.1495589335168,575.1495589335168,True,False,60,False,3,950,0.4397539683995629,95.30741325197913,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,1,721.0,452.3527361449983,589.7437435462625,589.7437435462625,589.7437435462625,589.7437435462625,True,False,60,False,3,950,0.37790537689640624,89.7145283185741,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,2,992.0,622.3771348902056,558.8374481110486,558.8374481110486,558.8374481110486,558.8374481110486,True,False,60,False,3,950,0.5199474811112829,105.30177217643103,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,3,948.0,594.7716974555594,626.3139887608213,626.3139887608213,626.3139887608213,626.3139887608213,True,False,60,False,3,950,0.4968852944490889,102.08212868705203,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,4,1047.0,656.8839316835134,626.1618814635913,626.1618814635913,626.1618814635913,626.1618814635913,True,False,60,False,3,950,0.5487752144390254,109.74787647750283,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,5,1145.0,718.3687696061346,659.3568185502245,659.3568185502245,659.3568185502245,659.3568185502245,True,False,60,False,3,950,0.600140993823003,118.90741564057593,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,6,904.0,567.1662600209132,697.8354853388328,697.8354853388328,697.8354853388328,697.8354853388328,True,False,60,False,3,950,0.4738231077868949,99.14790287338027,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,7,1008.0,632.4154757755316,643.8118188326753,643.8118188326753,643.8118188326753,643.8118188326753,True,False,60,False,3,950,0.5283337308066263,106.54590407925234,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,8,965.0,605.4374346462182,667.1604816203062,667.1604816203062,667.1604816203062,667.1604816203062,True,False,60,False,3,950,0.5057956847503912,103.291521772798,False,0.17099999999999999,0.0,rolling
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,9,1099.0,689.5085395608226,658.2601817727282,658.2601817727282,658.2601817727282,658.2601817727282,True,False,60,False,3,950,0.576030525948891,114.40400496954103,False,0.17099999999999999,0.0,rolling
