variant,system,tick,actual_request_rate,scaled_demand,predicted_demand,p10,p50,p90,monitored,burst,next_interval_seconds,after_stretched_interval,replicas,cpu_millicores,utilization,response_ms,slo_violation,resource_cost,rolling_overlap_cost,execution_backend
novelty_2_quantile_provisioning,hybrid,0,839.0,526.3855001742768,577.79931640625,439.70587158203125,577.79931640625,710.621826171875,True,False,60,False,1,600,1.5,687.5,True,0.036,0.0,rolling
novelty_2_quantile_provisioning,hybrid,1,721.0,452.3527361449983,594.7930908203125,456.062744140625,594.7930908203125,724.23779296875,True,False,60,False,2,800,0.6731439525967237,134.9030347565214,False,0.10319999999999999,0.026399999999999996,rolling
novelty_2_quantile_provisioning,hybrid,2,992.0,622.3771348902056,563.2110595703125,425.2847595214844,563.2110595703125,696.40185546875,True,False,60,False,2,800,0.9261564507294727,222.99655440276464,False,0.09599999999999999,0.0,rolling
novelty_2_quantile_provisioning,hybrid,3,948.0,594.7716974555594,634.5728149414062,494.736572265625,634.5728149414062,757.6314697265625,True,False,60,False,2,800,0.8850769307374396,204.8002825299447,False,0.09599999999999999,0.0,rolling
novelty_2_quantile_provisioning,hybrid,4,1047.0,656.8839316835134,629.6411743164062,490.3973083496094,629.6411743164062,757.373779296875,True,False,60,False,2,800,0.977505850719514,248.12434352106266,False,0.09599999999999999,0.0,rolling
novelty_2_quantile_provisioning,hybrid,5,1145.0,718.3687696061346,661.60009765625,521.753662109375,661.60009765625,788.029296875,True,False,60,False,2,800,1.0690011452472241,299.8907783424432,False,0.09599999999999999,0.0,rolling
novelty_2_quantile_provisioning,hybrid,6,904.0,567.1662600209132,697.326171875,556.9581298828125,697.326171875,823.9161376953125,True,False,60,False,2,800,0.8439974107454066,188.2170891366551,False,0.09599999999999999,0.0,rolling
novelty_2_quantile_provisioning,hybrid,7,1008.0,632.4154757755316,637.30712890625,498.60955810546875,637.30712890625,775.82177734375,True,False,60,False,3,600,0.8365284071104916,185.36941902754154,False,0.1272,0.040799999999999996,rolling
novelty_2_quantile_provisioning,hybrid,8,965.0,605.4374346462182,663.982421875,524.2989501953125,663.982421875,798.146484375,True,False,60,False,2,800,0.9009485634616342,211.63533910125068,False,0.11759999999999998,0.040799999999999996,rolling
novelty_2_quantile_provisioning,hybrid,9,1099.0,689.5085395608226,654.2557373046875,514.8360595703125,654.2557373046875,790.7919921875,True,False,60,False,2,800,1.026054374346462,274.4391141456363,False,0.09599999999999999,0.0,rolling
novelty_2_quantile_provisioning,hybrid,10,931.0,584.1059602649007,693.3795166015625,553.0230712890625,693.3795166015625,825.8282470703125,True,False,60,False,2,800,0.869205298013245,198.20602124819663,False,0.09599999999999999,0.0,rolling
novelty_2_quantile_provisioning,hybrid,11,1011.0,634.2976646915301,650.814208984375,511.6497497558594,650.814208984375,791.0625,True,False,60,False,3,600,0.8390180749887964,186.31302018467994,False,0.1272,0.040799999999999996,rolling
novelty_2_quantile_provisioning,hybrid,12,1169.0,733.4262809341234,671.5943603515625,531.7069091796875,671.5943603515625,808.5130615234375,True,False,60,False,2,800,1.0914081561519693,314.0098240147927,False,0.11759999999999998,0.040799999999999996,rolling
novelty_2_quantile_provisioning,hybrid,13,1013.0,635.5524573021959,718.099853515625,577.276611328125,718.099853515625,850.0740966796875,True,False,60,False,2,800,0.9457625852711248,232.27159350213944,False,0.09599999999999999,0.0,rolling
novelty_2_quantile_provisioning,hybrid,14,842.0,528.2676890902753,679.9547729492188,540.334716796875,679.9547729492188,820.1573486328125,True,False,60,False,3,600,0.6987667845109462,141.41426571413373,False,0.1272,0.040799999999999996,rolling
novelty_2_quantile_provisioning,hybrid,15,1180.0,740.327640292785,630.0379638671875,491.3509826660156,630.0379638671875,775.074951171875,True,False,60,False,3,600,0.9792693654666468,249.0359236717985,False,0.108,0.0,rolling
novelty_2_quantile_provisioning,hybrid,16,1164.0,730.2892994074591,718.646728515625,577.5635986328125,718.646728515625,849.22412109375,True,False,60,False,2,800,1.0867400288801474,311.0199563471697,False,0.11759999999999998,0.040799999999999996,rolling
novelty_2_quantile_provisioning,hybrid,17,1061.0,665.6674799581735,722.527099609375,581.9052734375,722.527099609375,857.182861328125,True,False,60,False,3,600,0.8805125396272137,202.87941662893772,False,0.1272,0.040799999999999996,rolling
novelty_2_quantile_provisioning,hybrid,18,1163.0,729.6619031021262,698.1781005859375,558.287841796875,698.1781005859375,838.84228515625,True,False,60,False,3,600,0.9651612474895849,241.83488120423087,False,0.108,0.0,rolling
novelty_2_quantile_provisioning,hybrid,19,1290.0,809.3412338794005,728.3907470703125,587.7262573242188,728.3907470703125,866.0479736328125,True,False,60,False,3,600,1.0705571876711648,300.85239846277466,False,0.108,0.0,rolling
novelty_2_quantile_provisioning,hybrid,20,974.0,611.084001394214,770.389892578125,629.0289306640625,770.389892578125,905.6177978515625,True,False,60,False,2,900,0.8083121711563678,175.06263755253104,False,0.1296,0.0432,rolling
novelty_2_quantile_provisioning,hybrid,21,1143.0,717.1139769954689,687.0205078125,547.7869873046875,687.0205078125,836.695068359375,True,False,60,False,2,900,0.9485634616342181,233.62846114241628,False,0.108,0.0,rolling
